Year,Team,Game,Win,Home,MP,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013,Spurs,2,0,0,240,32,78,0.41,10,20,0.5,10,14,0.714,15,29,44,16,3,4,16,14,84
2013,Spurs,3,1,1,240,43,88,0.489,16,32,0.5,11,19,0.579,19,33,52,29,10,4,12,13,113
2013,Spurs,4,0,1,240,31,70,0.443,8,16,0.5,23,31,0.742,5,31,36,21,5,4,18,18,93
2013,Spurs,5,1,1,240,42,70,0.6,9,22,0.409,21,26,0.808,5,31,36,21,5,8,18,21,114
2013,Spurs,6,0,0,265,37,85,0.435,5,18,0.278,21,28,0.75,12,33,45,13,8,2,13,21,100
2013,Spurs,7,0,0,240,31,82,0.378,6,19,0.316,20,22,0.909,12,31,43,13,12,3,14,19,88
2014,Heat,1,0,0,240,37,78,0.474,12,29,0.414,9,11,0.818,7,22,29,16,14,2,16,21,95
2014,Heat,2,1,0,240,37,70,0.529,8,19,0.421,16,21,0.762,5,33,38,16,6,3,13,20,98
2014,Heat,3,0,1,240,32,62,0.516,10,21,0.476,18,24,0.75,5,21,26,17,8,1,20,26,92
2014,Heat,4,0,1,240,32,71,0.451,9,22,0.409,13,20,0.65,6,21,27,13,7,1,13,25,86
2014,Heat,5,0,0,240,30,75,0.4,7,25,0.28,20,27,0.741,5,36,41,14,5,4,10,23,87
2015,Cavaliers,1,0,0,265,39,94,0.415,9,31,0.29,13,19,0.684,13,32,45,19,10,5,11,20,100
2015,Cavaliers,2,1,0,265,29,90,0.322,9,27,0.333,28,40,0.7,14,41,55,14,11,3,13,24,95
2015,Cavaliers,3,1,1,240,35,76,0.461,9,21,0.429,17,24,0.708,6,37,43,15,9,8,14,16,96
2015,Cavaliers,4,0,1,240,29,88,0.33,4,27,0.148,20,28,0.714,16,33,49,16,2,3,9,19,82
2015,Cavaliers,5,0,0,240,32,81,0.395,12,35,0.343,15,21,0.714,10,27,37,17,10,4,10,28,91
2015,Cavaliers,6,0,1,240,32,82,0.39,6,26,0.231,27,39,0.692,16,40,56,14,3,7,16,26,97
2016,Warriors,1,1,1,240,43,87,0.494,9,27,0.333,9,10,0.9,9,32,41,29,9,4,9,16,104
2016,Warriors,2,1,1,240,44,81,0.543,15,33,0.455,7,10,0.7,12,34,46,26,7,9,20,20,110
2016,Warriors,3,0,0,240,32,76,0.421,9,33,0.273,17,26,0.654,8,24,32,21,5,4,18,23,90
2016,Warriors,4,1,0,240,33,81,0.407,17,36,0.472,25,31,0.806,14,29,43,23,7,6,8,22,108
2016,Warriors,5,0,1,240,32,88,0.364,14,43,0.326,19,26,0.731,13,30,43,18,6,9,17,21,97
2016,Warriors,6,0,0,240,33,82,0.402,15,39,0.385,20,29,0.69,9,26,35,19,5,3,14,25,101
2016,Warriors,7,0,1,240,32,83,0.386,15,41,0.366,10,13,0.769,7,32,39,22,7,5,10,23,89
2017,Cavaliers,1,0,0,240,30,86,0.349,11,31,0.355,20,25,0.8,15,44,59,15,0,6,20,23,91
2017,Cavaliers,2,0,0,240,45,100,0.45,8,29,0.276,15,19,0.789,10,31,41,27,15,1,9,18,113
2017,Cavaliers,3,0,1,240,40,90,0.444,12,44,0.273,21,25,0.84,10,27,37,17,9,3,12,25,113
2017,Cavaliers,4,1,1,240,46,87,0.529,24,45,0.533,21,31,0.677,11,30,41,27,6,3,11,24,137
2017,Cavaliers,5,0,0,240,47,88,0.534,11,24,0.458,15,23,0.652,12,28,40,22,6,5,14,22,120
2018,Cavaliers,1,0,0,265,44,99,0.444,10,37,0.27,16,22,0.727,19,34,53,18,5,3,11,18,114
2018,Cavaliers,2,0,0,240,37,90,0.411,9,27,0.333,20,26,0.769,16,26,42,25,9,4,10,15,103
2018,Cavaliers,3,0,1,240,40,92,0.435,9,31,0.29,13,17,0.765,15,32,47,20,6,4,13,18,102
2018,Cavaliers,4,0,1,240,30,87,0.345,8,27,0.296,17,25,0.68,17,27,44,21,5,5,11,22,85
